Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,686934,-,-,-,27.77,-97.42,-6,16,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Surface Albedo,Wind Speed,GHI
1998,1,1,0,30,15.200000000000001,89.18,0.16,3,0
1998,1,1,1,30,15.5,89.67,0.16,3,0
1998,1,1,2,30,15.8,89.96000000000001,0.16,3.1,0
1998,1,1,3,30,16.1,89.89,0.16,3.1,0
1998,1,1,4,30,16.400000000000002,89.96000000000001,0.16,3.3000000000000003,0
1998,1,1,5,30,16.8,89.46000000000001,0.16,3.5,0
1998,1,1,6,30,17.1,88.95,0.16,3.6,0
1998,1,1,7,30,18,85.25,0.16,4.1000000000000005,15
1998,1,1,8,30,19.400000000000002,81.64,0.16,4.9,175
1998,1,1,9,30,20.6,77.26,0.16,5.7,362
1998,1,1,10,30,21.400000000000002,72.49,0.16,6.2,513
1998,1,1,11,30,21.900000000000002,69.84,0.16,6.4,424
1998,1,1,12,30,22.1,68.72,0.16,6.300000000000001,299
1998,1,1,13,30,22,69.23,0.16,6.2,620
1998,1,1,14,30,21.8,70.57000000000001,0.16,6.2,134
1998,1,1,15,30,21.3,73.44,0.16,5.800000000000001,239
1998,1,1,16,30,20.200000000000003,81.26,0.16,4.9,198
1998,1,1,17,30,19.1,90.09,0.16,4,27
1998,1,1,18,30,18.6,94.15,0.16,3.7,0
1998,1,1,19,30,18.400000000000002,96.27,0.16,3.6,0
1998,1,1,20,30,18.3,97.35000000000001,0.16,3.7,0
1998,1,1,21,30,18.400000000000002,96.94,0.16,3.8000000000000003,0
1998,1,1,22,30,18.5,96.96000000000001,0.16,3.8000000000000003,0
1998,1,1,23,30,18.5,97.3,0.16,3.8000000000000003,0
1998,1,2,0,30,18.6,97.03,0.16,3.9000000000000004,0
1998,1,2,1,30,18.6,97.52,0.16,3.9000000000000004,0
1998,1,2,2,30,18.6,97.24000000000001,0.16,3.9000000000000004,0
1998,1,2,3,30,18.6,96.71000000000001,0.16,4,0
1998,1,2,4,30,18.8,95.79,0.16,4.4,0
1998,1,2,5,30,19,95.10000000000001,0.16,4.7,0
