Date,Plot ID,Treatment Type,ExG,Total Soil Moisture,Irrigation Added (gallons),Rainfall (gallons),ET0 (mm),Heat Index (F),Kc (Crop Coefficient)
1998-01-01,WeatherStation,Synthetic,,,0.0,,37.42412640369759,65.855,0.07
1998-01-02,WeatherStation,Synthetic,,,0.0,,33.530254825268315,68.5325,0.07
1998-01-03,WeatherStation,Synthetic,,,0.0,,23.128853061970382,69.14000000000001,0.07
1998-01-04,WeatherStation,Synthetic,,,0.0,,37.43523811919582,70.1675,0.07
1998-01-05,WeatherStation,Synthetic,,,0.0,,28.283379284976213,70.1675,0.07
1998-01-06,WeatherStation,Synthetic,,,0.0,,28.33313795666552,68.87,0.07
1998-01-07,WeatherStation,Synthetic,,,0.0,,31.014522974500764,54.5375,0.07
1998-01-08,WeatherStation,Synthetic,,,0.0,,48.461731539311565,53.885000000000005,0.07
1998-01-09,WeatherStation,Synthetic,,,0.0,,49.51420727274116,60.215,0.07
1998-01-10,WeatherStation,Synthetic,,,0.0,,55.22016169064615,65.795,0.07
1998-01-11,WeatherStation,Synthetic,,,0.0,,35.30512672336556,68.16499999999999,0.07
1998-01-12,WeatherStation,Synthetic,,,0.0,,35.137621287500345,67.30250000000001,0.07
1998-01-13,WeatherStation,Synthetic,,,0.0,,18.904672151364046,64.265,0.07
1998-01-14,WeatherStation,Synthetic,,,0.0,,24.468753051685148,60.53,0.07
1998-01-15,WeatherStation,Synthetic,,,0.0,,49.45355889417861,54.7625,0.07
1998-01-16,WeatherStation,Synthetic,,,0.0,,57.904371445081864,60.3575,0.07
1998-01-17,WeatherStation,Synthetic,,,0.0,,53.29800399852182,60.49250000000001,0.07
1998-01-18,WeatherStation,Synthetic,,,0.0,,38.85729990526148,64.3925,0.07
1998-01-19,WeatherStation,Synthetic,,,0.0,,52.19460109919437,54.49249999999999,0.07
1998-01-20,WeatherStation,Synthetic,,,0.0,,33.378370997620614,64.92500000000001,0.07
1998-01-21,WeatherStation,Synthetic,,,0.0,,31.016123624907067,68.91499999999999,0.07
1998-01-22,WeatherStation,Synthetic,,,0.0,,7.797035607145507,54.769999999999996,0.07
1998-01-23,WeatherStation,Synthetic,,,0.0,,53.86241939138465,51.635000000000005,0.07
1998-01-24,WeatherStation,Synthetic,,,0.0,,55.787867118885664,53.4125,0.07
1998-01-25,WeatherStation,Synthetic,,,0.0,,14.163740863448476,62.1725,0.07
1998-01-26,WeatherStation,Synthetic,,,0.0,,56.59791242806019,61.572500000000005,0.07
1998-01-27,WeatherStation,Synthetic,,,0.0,,65.9061259024273,56.33,0.07
1998-01-28,WeatherStation,Synthetic,,,0.0,,63.2069311424859,61.6625,0.07
