Date,Plot ID,Treatment Type,ExG,Total Soil Moisture,Irrigation Added (gallons),Rainfall (gallons),ET0 (mm),Heat Index (F),Canopy Cover (CC),Kc (Crop Coeffecient)
2023-05-01,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-02,27,DICT,NA,NA,NA,906.336,NA,NA,NA,NA
2023-05-03,27,DICT,NA,NA,NA,5060.376,NA,NA,NA,NA
2023-05-04,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-05,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-06,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-07,27,DICT,NA,226.2333333,NA,0,NA,NA,NA,NA
2023-05-08,27,DICT,NA,217.3,NA,0,NA,88.45906378,NA,NA
2023-05-09,27,DICT,NA,209.9666667,NA,0,NA,84.76233979,NA,NA
2023-05-10,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-11,27,DICT,-0.04421578,NA,NA,3952.632,NA,NA,0,-0.148
2023-05-12,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-13,27,DICT,NA,NA,NA,4531.68,NA,NA,NA,NA
2023-05-14,27,DICT,NA,NA,NA,855.984,NA,NA,NA,NA
2023-05-15,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-16,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-17,27,DICT,-0.036381861,NA,NA,50.352,NA,NA,0,-0.148
2023-05-18,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-19,27,DICT,NA,NA,NA,352.464,NA,NA,NA,NA
2023-05-20,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-21,27,DICT,NA,NA,NA,503.52,NA,NA,NA,NA
2023-05-22,27,DICT,NA,NA,NA,6520.584,NA,NA,NA,NA
2023-05-23,27,DICT,-0.041540221,NA,NA,1283.976,NA,NA,0,-0.148
2023-05-24,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-25,27,DICT,NA,NA,NA,5337.312,NA,NA,NA,NA
2023-05-26,27,DICT,NA,NA,NA,3826.752,NA,NA,NA,NA
2023-05-27,27,DICT,NA,NA,NA,3197.352,NA,NA,NA,NA
2023-05-28,27,DICT,NA,NA,NA,2769.36,NA,NA,NA,NA
2023-05-29,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-30,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-31,27,DICT,NA,NA,NA,276.936,NA,NA,NA,NA
2023-06-01,27,DICT,NA,NA,NA,1686.792,NA,NA,NA,NA
2023-06-02,27,DICT,NA,NA,NA,1812.672,NA,NA,NA,NA
2023-06-03,27,DICT,NA,NA,NA,2114.784,NA,NA,NA,NA
2023-06-04,27,DICT,NA,NA,NA,50.352,NA,NA,NA,NA
2023-06-05,27,DICT,NA,NA,NA,75.528,NA,NA,NA,NA
2023-06-06,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-06-07,27,DICT,NA,224.144,NA,2719.008,NA,NA,NA,NA
2023-06-08,27,DICT,NA,214.2,NA,0,NA,87.45687746,NA,NA
2023-06-09,27,DICT,-0.03038338,NA,NA,0,NA,NA,0,-0.148
2023-06-10,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-06-11,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-06-12,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-06-13,27,DICT,-0.015595081,236.3833333,NA,0,NA,NA,0,-0.148
2023-06-14,27,DICT,NA,235.4583333,NA,0,NA,NA,NA,NA
2023-06-15,27,DICT,NA,234.3,NA,0,NA,NA,NA,NA
2023-06-16,27,DICT,NA,233.1458333,NA,0,NA,NA,NA,NA
2023-06-17,27,DICT,NA,232.2086957,NA,0,NA,NA,NA,NA
2023-06-18,27,DICT,-0.011700515,231.2083333,NA,0,NA,NA,0.3689236111,-0.1432039931
2023-06-19,27,DICT,NA,229.8416667,NA,0,NA,NA,NA,NA
2023-06-20,27,DICT,NA,228.2916667,NA,0,NA,NA,NA,NA
2023-06-21,27,DICT,NA,226.76,0,0,NA,NA,NA,NA
2023-06-22,27,DICT,NA,227.1708333,NA,0,NA,NA,NA,NA
2023-06-23,27,DICT,NA,231.1208333,NA,1032.216,NA,NA,NA,NA
2023-06-24,27,DICT,NA,230.6541667,NA,0,NA,NA,NA,NA
2023-06-25,27,DICT,NA,229.3916667,NA,0,NA,NA,NA,NA
2023-06-26,27,DICT,NA,228.0833333,0,0,NA,NA,NA,NA
2023-06-27,27,DICT,NA,226.8916667,NA,0,NA,NA,NA,NA
2023-06-28,27,DICT,NA,230.3958333,NA,0,NA,NA,NA,NA
2023-06-29,27,DICT,NA,231.5409091,6270,0,NA,NA,NA,NA
2023-06-30,27,DICT,0.044549862,230.8041667,NA,3323.232,NA,NA,13.6259323,0.0291371199
2023-07-01,27,DICT,NA,NA,NA,906.336,NA,NA,NA,NA
2023-07-02,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-07-03,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-07-04,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-07-05,27,DICT,0.124312984,NA,0,0,NA,NA,28.0159401,0.2162072213
2023-07-06,27,DICT,NA,239.5357143,NA,0,NA,NA,NA,NA
2023-07-07,27,DICT,NA,222.175,NA,553.872,6.534235849497845,85.48721757,NA,NA
2023-07-08,27,DICT,NA,212.0833333,NA,125.88,3.702302983768859,83.95531491,NA,NA
2023-07-09,27,DICT,0.122640781,NA,NA,0,4.053027740554412,NA,36.57262278,0.3274440961
2023-07-10,27,DICT,NA,NA,NA,4456.152,4.7053208569608795,NA,NA,NA
2023-07-11,27,DICT,NA,NA,NA,453.168,7.139669578360842,NA,NA,NA
2023-07-12,27,DICT,0.132961737,NA,4050,0,8.827358089945005,NA,43.87755102,0.4224081633
2023-07-13,27,DICT,NA,224.7833333,NA,0,6.693322259032683,91.65693928,NA,NA
2023-07-14,27,DICT,NA,222.6291667,NA,0,6.34347629009833,88.88358333,NA,NA
2023-07-15,27,DICT,NA,221.1869565,NA,302.112,4.2998055390763685,83.39643018,NA,NA
2023-07-16,27,DICT,NA,220.3083333,NA,1435.032,4.502614802388296,82.93465384,NA,NA
2023-07-17,27,DICT,0.145071391,218.944,NA,0,6.491309734424005,86.34306645,46.23735872,0.4530856634
2023-07-18,27,DICT,NA,218.3708333,NA,0,11.647747863739548,87.4303048,NA,NA
2023-07-19,27,DICT,NA,224.6083333,NA,0,10.404797644008534,87.35493798,NA,NA
2023-07-20,27,DICT,0.138330482,224.6041667,NA,0,5.33223087168297,84.76662166,46.96078431,0.462490196
2023-07-21,27,DICT,NA,225.9291667,6320,0,5.303162421574527,82.15549553,NA,NA
2023-07-22,27,DICT,NA,223.8958333,NA,0,2.972122248743333,82.46773529,NA,NA
2023-07-23,27,DICT,NA,221.5875,NA,0,4.054680816689564,84.0121155,NA,NA
2023-07-24,27,DICT,NA,219.0791667,NA,0,7.411746533598245,84.9826392,NA,NA
2023-07-25,27,DICT,NA,223.4083333,NA,0,9.2754692071882765,85.56947655,NA,NA
2023-07-26,27,DICT,0.160580855,223.6666667,NA,0,7.89715941732935,85.06460822,51.54605263,0.5220986842
