Date ,Plot ID,Treatment Type ,Water Stress,Irrigation to Add,Etc (Kc x Et0) ,Delta ExG (+ or - based on Recs)
06/04/2025,102,R_F,No Stress,0,0.00,0.3021
06/05/2025,102,R_F,No Stress,0,0.00,0.3479
06/06/2025,102,R_F,Unknown,0,3.38,0.0000
06/07/2025,102,R_F,Unknown,0,3.65,0.0000
06/08/2025,102,R_F,Unknown,0,3.42,0.0000
06/09/2025,102,R_F,Unknown,0,3.34,0.0000
06/10/2025,102,R_F,No Stress,0,3.27,0.0000
06/11/2025,102,R_F,Unknown,0,1.90,0.0000
06/12/2025,102,R_F,Unknown,0,4.31,0.0000
06/13/2025,102,R_F,Unknown,0,4.95,0.0000
06/14/2025,102,R_F,Unknown,0,5.03,0.0000
06/15/2025,102,R_F,Unknown,0,5.03,0.0000
06/16/2025,102,R_F,No Stress,0,4.27,0.0000
06/17/2025,102,R_F,Unknown,0,6.12,0.0000
06/18/2025,102,R_F,Unknown,0,3.52,0.0000
06/19/2025,102,R_F,Unknown,0,3.52,0.0000
06/20/2025,102,R_F,No Stress,0,3.38,0.0000
06/21/2025,102,R_F,Unknown,0,3.28,0.0000
06/22/2025,102,R_F,Unknown,0,3.93,0.0000
06/23/2025,102,R_F,Unknown,0,3.69,0.0000
06/24/2025,102,R_F,Unknown,0,3.83,0.0000
06/25/2025,102,R_F,Unknown,0,3.74,0.0000
06/26/2025,102,R_F,Unknown,0,3.88,0.0000
06/27/2025,102,R_F,Unknown,0,4.43,0.0000
06/28/2025,102,R_F,Unknown,0,4.25,0.0000
06/29/2025,102,R_F,Unknown,0,3.65,0.0000
06/30/2025,102,R_F,Unknown,0,2.82,0.0000
07/01/2025,102,R_F,Unknown,0,0.00,0.0000
07/08/2025,102,R_F,No Stress,0,4.04,0.0000
07/15/2025,102,R_F,No Stress,0,3.52,-0.0279
07/22/2025,102,R_F,No Stress,0,4.99,0.0118
07/29/2025,102,R_F,No Stress,0,3.38,-0.0033
08/05/2025,102,R_F,No Stress,0,4.08,0.0212
08/12/2025,102,R_F,No Stress,0,4.16,-0.0004
08/19/2025,102,R_F,No Stress,0,3.99,-0.0080
08/26/2025,102,R_F,No Stress,0,3.59,-0.0387
09/02/2025,102,R_F,No Stress,0,3.79,0.0212
09/09/2025,102,R_F,No Stress,0,4.63,-0.0143
09/16/2025,102,R_F,No Stress,0,3.91,0.0034
09/23/2025,102,R_F,No Stress,0,4.01,0.0071
