Date,Plot ID,Treatment Type,ExG,Total Soil Moisture,Irrigation Added (gallons),Rainfall (gallons),ET0 (mm),Heat Index (F),Kc (Crop Coefficient)
2025-06-04,102,R_F,0.3020685855,,,,,,
2025-06-04,404,H_I,0.4377852447,,,,,,0.4648
2025-06-04,409,F_I,0.3888971091,,,,,,
2025-06-05,102,R_F,0.65,,,,,,0.3796
2025-06-05,404,H_I,1.0,,,,,,0.4648
2025-06-05,409,F_I,0.86,,,,,,0.4607
2025-06-06,102,R_F,,238.4555556,0.0,0.0,8.9,81.608735,0.3796
2025-06-06,409,F_I,,189.9181818,0.0,0.0,8.9,81.608735,0.4648
2025-06-07,102,R_F,,229.5791667,0.0,0.0,9.6,81.919,0.3801
2025-06-07,404,H_I,,209.3789474,0.0,0.0,9.6,81.919,0.4651
2025-06-07,409,F_I,,189.4958333,0.0,0.0,9.6,81.919,0.4612
2025-06-08,102,R_F,,224.126087,0.0,573.11,9.0,81.765,0.3801
2025-06-08,404,H_I,,206.4869565,0.0,573.11,9.0,81.765,0.4651
2025-06-08,409,F_I,,188.8208333,0.0,573.11,9.0,81.765,0.4612
2025-06-09,102,R_F,,220.9166667,0.0,0.0,8.8,82.4605,0.3801
2025-06-09,404,H_I,,204.0458333,0.0,0.0,8.8,82.4605,0.4651
2025-06-09,409,F_I,,188.1043478,0.0,0.0,8.8,82.4605,0.4612
2025-06-10,102,R_F,0.98,218.4833333,0.0,0.0,8.6,81.918245,0.3801
2025-06-10,404,H_I,0.48,202.0695652,0.0,0.0,8.6,81.918245,0.4651
2025-06-10,409,F_I,0.73,187.4875,0.0,0.0,8.6,81.918245,0.4612
2025-06-11,102,R_F,,220.3347826,0.0,318.91,5.0,79.33197,0.3801
2025-06-11,404,H_I,,204.1416667,0.0,318.91,5.0,79.33197,0.4651
2025-06-11,409,F_I,,188.6173913,0.0,318.91,5.0,79.33197,0.4612
2025-06-12,102,R_F,,220.7833333,0.0,306.23,5.4,77.87606,0.7977
2025-06-12,404,H_I,,206.2041667,0.0,306.23,5.4,77.87606,0.4651
2025-06-12,409,F_I,,189.35,0.0,306.23,5.4,77.87606,0.6862
2025-06-13,102,R_F,,222.6,0.0,0.0,6.2,80.32114,0.7977
2025-06-13,404,H_I,,207.9608696,0.0,0.0,6.2,80.32114,0.4651
2025-06-13,409,F_I,,192.0571429,0.0,0.0,6.2,80.32114,0.6862
2025-06-14,102,R_F,,220.7869565,0.0,0.0,6.0,81.560625,0.8378
2025-06-14,404,H_I,,206.75,0.0,0.0,6.0,81.560625,0.6886
2025-06-14,409,F_I,,191.9666667,0.0,0.0,6.0,81.560625,0.6862
2025-06-15,102,R_F,,218.575,0.0,90.6,6.0,81.838925,0.8378
2025-06-15,404,H_I,,205.4916667,0.0,90.6,6.0,81.838925,0.6886
2025-06-15,409,F_I,,191.75,0.0,90.6,6.0,81.838925,0.6862
2025-06-16,102,R_F,0.42,221.625,0.0,9.06,5.1,77.47249,0.8378
2025-06-16,404,H_I,0.54,207.9782609,0.0,9.06,5.1,77.47249,0.6886
2025-06-16,409,F_I,0.49,193.9875,0.0,9.06,5.3,77.47249,0.6862
2025-06-17,102,R_F,,223.1347826,0.0,0.0,7.3,80.14658,0.8378
2025-06-17,404,H_I,,207.8958333,0.0,0.0,7.3,80.14658,0.6886
2025-06-17,409,F_I,,193.8166667,0.0,0.0,7.3,80.14658,0.6862
2025-06-18,102,R_F,,220.9875,0.0,0.0,7.5,81.190225,0.4697
2025-06-18,404,H_I,,206.3541667,0.0,0.0,7.5,81.190225,0.6886
2025-06-18,409,F_I,,193.8869565,0.0,0.0,7.5,81.190225,0.5775
2025-06-19,102,R_F,,218.1625,0.0,163.08,7.5,80.9976,0.4697
2025-06-19,404,H_I,,204.6086957,0.0,163.08,7.5,80.9976,0.5824
2025-06-19,409,F_I,,193.3208333,0.0,163.08,7.5,80.9976,0.5775
2025-06-20,102,R_F,0.26,215.9652174,0.0,9.06,7.2,80.95748,0.4697
2025-06-20,404,H_I,0.07,202.7625,0.0,9.06,7.2,80.95748,0.5824
2025-06-20,409,F_I,0.11,192.7913043,0.0,9.06,7.2,80.95748,0.5775
2025-06-21,102,R_F,,214.1375,0.0,120.5,7.1,80.77128,0.4618
2025-06-21,404,H_I,,200.8125,0.0,120.5,7.1,80.77128,0.5824
2025-06-21,409,F_I,,191.9625,0.0,120.5,7.1,80.77128,0.5661
2025-06-22,102,R_F,,212.6125,0.0,9.06,8.5,81.04293,0.4618
2025-06-22,404,H_I,,198.9695652,0.0,9.06,8.5,81.04293,0.5824
2025-06-22,409,F_I,,191.1826087,0.0,9.06,8.5,81.04293,0.5661
2025-06-23,102,R_F,,211.2434783,0.0,0.0,8.0,81.1739,0.4618
2025-06-23,404,H_I,,197.1791667,0.0,0.0,8.0,81.1739,0.5824
2025-06-23,409,F_I,,190.5333333,0.0,0.0,8.0,81.1739,0.5661
2025-06-24,102,R_F,,210.0,0.0,0.0,8.3,80.89784,0.4618
2025-06-24,404,H_I,,195.5695652,0.0,0.0,8.3,80.89784,0.5713
2025-06-24,409,F_I,,190.1043478,0.0,0.0,8.3,80.89784,0.5661
2025-06-25,102,R_F,,208.8583333,0.0,36.24,8.1,80.35806,0.4618
